hotel_name,location,price,review,rating,review_count,link
Ha Sharing,Shillong,19040,Good,7.8,495 reviews,https://www.booking.com/hotel/in/ha-sharing.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=201264416_94415697_0_2_0_720726&highlighted_blocks=201264416_94415697_0_2_0_720726&matching_block_id=201264416_94415697_0_2_0_720726&sr_pri_blocks=201264416_94415697_0_2_0_720726_1904000&from=searchresults
Super Hotel O Shillong Formerly Balaji Guest House,Shillong,16059,Good,7.0,27 reviews,https://www.booking.com/hotel/in/oyo-10831-balaji-guest-house.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=302913702_245124395_1_2_0&highlighted_blocks=302913702_245124395_1_2_0&matching_block_id=302913702_245124395_1_2_0&sr_pri_blocks=302913702_245124395_1_2_0__1605940&from=searchresults
Crossroad,Shillong,12800,Wonderful,9.1,199 reviews,https://www.booking.com/hotel/in/crossroad-shillong.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=822898202_357352080_1_1_0&highlighted_blocks=822898202_357352080_1_1_0&matching_block_id=822898202_357352080_1_1_0&sr_pri_blocks=822898202_357352080_1_1_0__1280000&from=searchresults
Itsy Hotels Shillong Tower Guesthouse,Shillong,12659,Good,7.3,271 reviews,https://www.booking.com/hotel/in/treebo-trip-shillong-tower-guesthouse.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=870241303_400593066_1_33_0_316552&highlighted_blocks=870241303_400593066_1_33_0_316552&matching_block_id=870241303_400593066_1_33_0_316552&sr_pri_blocks=870241303_400593066_1_33_0_316552_1265933&from=searchresults
Treebo Omega Stay Inn,Shillong,14627,Good,7.6,146 reviews,https://www.booking.com/hotel/in/treebo-omega-39-s-stay-inn.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=449713701_392322045_1_1_0_316886&highlighted_blocks=449713701_392322045_1_1_0_316886&matching_block_id=449713701_392322045_1_1_0_316886&sr_pri_blocks=449713701_392322045_1_1_0_316886_1462665&from=searchresults
XCELSIOR HOTEL & SPA,Shillong,81593,Good,7.9,29 reviews,https://www.booking.com/hotel/in/xcelsior-amp-spa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1137335902_387294086_0_42_0_694767&highlighted_blocks=1137335902_387294086_0_42_0_694767&matching_block_id=1137335902_387294086_0_42_0_694767&sr_pri_blocks=1137335902_387294086_0_42_0_694767_8159320&from=searchresults
The Nongstoin Kitchen,Nongstoin,6400,Review score,5.0,1 review,https://www.booking.com/hotel/in/the-nongstoin-kitchen.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1325920804_405210247_1_42_0&highlighted_blocks=1325920804_405210247_1_42_0&matching_block_id=1325920804_405210247_1_42_0&sr_pri_blocks=1325920804_405210247_1_42_0__640000&from=searchresults
A FRAME - Family stay,Mylliem,10880,NA,NA,NA,https://www.booking.com/hotel/in/a-frame-family-stay.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1405782001_412373763_1_1_0&highlighted_blocks=1405782001_412373763_1_1_0&matching_block_id=1405782001_412373763_1_1_0&sr_pri_blocks=1405782001_412373763_1_1_0__1088000&from=searchresults
Cjc Nest homestay,Shillong,17100,NA,NA,NA,https://www.booking.com/hotel/in/cjc-nest-homestay.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1405568801_412356944_8_1_0&highlighted_blocks=1405568801_412356944_8_1_0&matching_block_id=1405568801_412356944_8_1_0&sr_pri_blocks=1405568801_412356944_8_1_0__1710000&from=searchresults
Conara Resort Lake View,Shillong,29376,NA,NA,NA,https://www.booking.com/hotel/in/conara-resort-beach.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1402704701_412090840_1_0_0&highlighted_blocks=1402704701_412090840_1_0_0&matching_block_id=1402704701_412090840_1_0_0&sr_pri_blocks=1402704701_412090840_1_0_0__2937600&from=searchresults
Hotel O Pillars House,Shillong,16932,Good,7.7,98 reviews,https://www.booking.com/hotel/in/oyo-19292-55-pillars-house-shillong12345678.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=430406602_247399715_1_0_0&highlighted_blocks=430406602_247399715_1_0_0&matching_block_id=430406602_247399715_1_0_0&sr_pri_blocks=430406602_247399715_1_0_0__1693197&from=searchresults
Super Hotel O Lapalang Shillong,Shillong,17098,Review score,5.6,21 reviews,https://www.booking.com/hotel/in/oyo-unique-residency.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1287072402_402544142_1_0_0&highlighted_blocks=1287072402_402544142_1_0_0&matching_block_id=1287072402_402544142_1_0_0&sr_pri_blocks=1287072402_402544142_1_0_0__1709828&from=searchresults
Stargaze Backpackers Shillong,Shillong,4420,Exceptional,9.5,47 reviews,https://www.booking.com/hotel/in/stargaze-backpackers-shillong.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1332834302_410152409_0_0_0&highlighted_blocks=1332834302_410152409_0_0_0&matching_block_id=1332834302_410152409_0_0_0&sr_pri_blocks=1332834302_410152409_0_0_0__442000&from=searchresults
Soma Stays Loomkyntoor Resort,Jarain,35640,NA,NA,NA,https://www.booking.com/hotel/in/soma-stays-loomkyntoor-resort.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1406082501_412393732_1_1_0&highlighted_blocks=1406082501_412393732_1_1_0&matching_block_id=1406082501_412393732_1_1_0&sr_pri_blocks=1406082501_412393732_1_1_0__3564000&from=searchresults
"Soma Stays GHM, Jowai",Jowai,25344,NA,NA,NA,https://www.booking.com/hotel/in/soma-stays-ghm-jowai.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1405791901_412374279_1_1_0&highlighted_blocks=1405791901_412374279_1_1_0&matching_block_id=1405791901_412374279_1_1_0&sr_pri_blocks=1405791901_412374279_1_1_0__2534400&from=searchresults
Isabella Hostel,Shillong,4890,Good,7.9,69 reviews,https://www.booking.com/hotel/in/isabella-hostel.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1149909701_387814020_1_42_0&highlighted_blocks=1149909701_387814020_1_42_0&matching_block_id=1149909701_387814020_1_42_0&sr_pri_blocks=1149909701_387814020_1_42_0__489024&from=searchresults
Hunsi Homestay,Cherrapunji,19584,NA,NA,NA,https://www.booking.com/hotel/in/nity-homestay.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-01&checkout=2025-05-09&dest_id=3481&dest_type=region&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=916b5269668c12e4&srepoch=1746013396&all_sr_blocks=1379914801_410108357_1_0_0&highlighted_blocks=1379914801_410108357_1_0_0&matching_block_id=1379914801_410108357_1_0_0&sr_pri_blocks=1379914801_410108357_1_0_0__1958400&from=searchresults
